time,veh,evt,pathId,policy,pathLen,nextIdx,targetJ,ttl,selected,nextList,prevHop
3.073,16,REQ,1,1,32,0,18,0,0,",018-19-20-29-38-47-56-57-48-39-30-21-12-11-10-9-0-1-2-3-4-13-22-31-40-49-58-59-50-41-42-33"
4.982,37,REQ,1,1,32,0,34,0,0,",034-33-42-41-40-39-38-29-20-21-30-31-32-23-22-13-12-11-10-19-28-37-46-47-56-57-48-49-58-59-50-51"
7.168,25,REQ,1,1,32,0,40,0,0,",040-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-49-48-57-56-65-66-67-58-59-60-51"
7.705,43,REQ,1,1,32,0,47,0,0,",047-56-57-48-49-40-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-59-58-67-66-65-64"
8.321,22,REQ,1,1,32,0,22,0,0,",022-21-20-11-10-9-18-19-28-29-30-31-32-41-50-59-60-69-68-67-66-65-64-63-72-73-74-75-76-77-78-79"
8.369,18,REQ,1,1,32,0,37,0,0,",037-38-29-20-11-10-9-0-1-2-3-12-13-4-5-6-15-24-33-42-51-60-69-68-67-66-65-74-73-64-63-54"
12.145,73,REQ,1,1,11,0,54,0,0,",054-63-64-73-74-65-66-75-76-77-68"
13.184,15,REQ,1,1,32,0,38,0,0,",038-29-20-11-10-1-0-9-18-19-28-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59-58-57"
15.147,41,REQ,1,1,32,0,28,0,0,",028-19-10-11-20-21-12-3-2-1-0-9-18-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59"
17.305,111,REQ,1,1,32,0,21,0,0,",021-20-11-10-1-0-9-18-19-28-29-30-31-32-33-42-51-60-69-68-77-76-67-66-75-74-65-64-63-54-55-56"
17.307,126,FWD,1,1,32,0,21,67,27,"27@1.7e+03;92@1.77e+03",126
18.685,33,REQ,1,1,32,0,2,0,0,",02-1-0-9-10-19-20-21-12-3-4-13-22-31-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17"
19.393,46,REQ,1,1,32,0,40,0,0,",040-41-42-51-60-61-70-79-80-71-62-53-52-43-34-33-32-31-22-13-12-3-2-1-0-9-10-11-20-29-30-39"
19.836,155,REQ,1,1,32,0,31,0,0,",031-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-14-15-16-25-24"
20.197,25,REQ,2,1,32,0,0,0,0,",00-1-10-9-18-19-20-11-12-3-4-5-6-7-8-17-16-15-14-13-22-21-30-29-38-47-56-65-64-63-72-73"
21.571,88,REQ,1,1,26,0,47,0,0,",047-56-65-64-63-72-73-74-75-76-77-78-79-80-71-70-61-60-69-68-67-66-57-58-59-50"
24.374,42,REQ,1,1,32,0,23,0,0,",023-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-22-21-20-11-10"
